"date","numDate","state","fips","variable","value"
2020-03-28,88,"ME",23,"positiveIncrease",43
2020-03-28,88,"MI",26,"positiveIncrease",1066
2020-03-28,88,"MN",27,"positiveIncrease",47
2020-03-28,88,"MO",29,"positiveIncrease",169
2020-03-28,88,"MS",28,"positiveIncrease",84
2020-03-28,88,"MT",30,"positiveIncrease",21
2020-03-28,88,"NC",37,"positiveIncrease",172
2020-03-28,88,"ND",38,"positiveIncrease",18
2020-03-28,88,"NE",31,"positiveIncrease",11
2020-03-28,88,"NH",33,"positiveIncrease",29
2020-03-28,88,"NJ",34,"positiveIncrease",2299
2020-03-28,88,"NM",35,"positiveIncrease",55
2020-03-28,88,"NV",32,"positiveIncrease",86
2020-03-28,88,"NY",36,"positiveIncrease",7683
2020-03-28,88,"OH",39,"positiveIncrease",269
2020-03-28,88,"OK",40,"positiveIncrease",55
2020-03-28,88,"OR",41,"positiveIncrease",65
2020-03-28,88,"PA",42,"positiveIncrease",533
2020-03-28,88,"PR",72,"positiveIncrease",21
2020-03-28,88,"RI",44,"positiveIncrease",64
2020-03-28,88,"SC",45,"positiveIncrease",83
2020-03-28,88,"SD",46,"positiveIncrease",10
2020-03-28,88,"TN",47,"positiveIncrease",170
2020-03-28,88,"TX",48,"positiveIncrease",321
2020-03-28,88,"UT",49,"positiveIncrease",122
2020-03-28,88,"VA",51,"positiveIncrease",135
2020-03-28,88,"VI",78,"positiveIncrease",3
2020-03-28,88,"VT",50,"positiveIncrease",21
2020-03-28,88,"WA",53,"positiveIncrease",321
2020-03-28,88,"WI",55,"positiveIncrease",165
2020-03-28,88,"WV",54,"positiveIncrease",20
2020-03-28,88,"WY",56,"positiveIncrease",12
2020-03-29,89,"AK",2,"positiveIncrease",17
